PUCID_productype,PUCID_refined,New.Description,refined,personal_communal,indoor_outdoor,cluster,Prev_hh,Prev_hh_yes,Prev_M,Prev_F,Prev_child,Freq,Freq_CV,HT,HT_CV,AT,Mass,Mass_CV
HM.1400.050,HM.1400.050.040.F,"paint/stain and related products , primer exterior",1,Communal,O,Painting,NA,0.25,0.8,0.2,0,3.5,1,90,0.6,30,550,1
HM.1400.050,HM.1400.050.041.F,"paint/stain and related products , primer interior",1,Communal,I,Painting,NA,0.25,0.2,0.8,0,3.5,1,90,0.6,30,550,1
HM.1400.050,HM.1400.050.050.F,"paint/stain and related products , primer spray",1,Communal,I,Painting,NA,0.25,0.2,0.8,0,3.5,1,90,0.6,30,250,1
HM.1400.050,HM.1400.050.099.F,"paint/stain and related products , primer NOC",1,Communal,I,Painting,NA,0.25,0.2,0.8,0,3.5,1,90,0.6,30,250,1
HM.1400.060,#N/A,#N/A,0,Communal,,0,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HM.1400.060,HM.1400.060.040.F,"paint/stain and related products , stain exterior",1,Communal,O,0,NA,0.5,0.8,0.2,0,2,1,90,0.6,0,2000,1
HM.1400.060,HM.1400.060.099.F,"paint/stain and related products , stain NOC",1,Communal,O,0,NA,0.5,0.8,0.2,0,2,1,90,0.6,0,2000,1
HM.1400.070,#N/A,#N/A,0,Communal,,Painting,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HM.1400.070,HM.1400.070.050.F,"paint/stain and related products , stripper spray",1,Communal,I,Painting,NA,0.5,0.2,0.8,0,2,1,90,0.6,0,500,1
HM.1400.070,HM.1400.070.099.F,"paint/stain and related products , stripper NOC",1,Communal,I,Painting,NA,0.5,0.2,0.8,0,2,1,90,0.6,0,500,1
HM.1500.010,#N/A,#N/A,0,Communal,,0,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HM.1500.010,HM.1500.010.099.F,"patch and repair , patch and repair NOC",1,Communal,I,0,NA,1,0.2,0.8,0,12,0.3,30,1,0,200,1
HM.1500.020,#N/A,#N/A,0,Communal,,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HM.1500.020,HM.1500.020.099.F,"patch and repair , putty or filler NOC",1,Communal,I,0,NA,1,0.2,0.8,0,3,1,30,1,0,100,1
HM.1600.010,#N/A,#N/A,0,Communal,,0,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HM.1600.010,HM.1600.010.099.F,"plumbing , plumbing NOC",1,Communal,I,0,NA,1,0.2,0.8,0,12,0.3,60,0.6,0,50,1
HM.1700.010,#N/A,#N/A,0,Communal,,0,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HM.1700.010,HM.1700.010.099.F,"refrigerant , refrigerant NOC",1,Communal,I,0,NA,1,0.2,0.8,0,1,1,10,1,10,2,1
