PUCID_productype,NO2017,HUP,IUP,Seasonality,M,F,W,B,A,N,P,O,age0_5,age6_12,age13_15,age16_18,age19_49,age50plus,kownrent,sewdis,dishwash,stoven,cars,pcprint,swim,yard,Hot_Warm,Cool,Cold,personal_communal
PC.0500.020,,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,Personal
PC.0500.030,,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,Personal
PC.0500.040,,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,Personal
PC.2800.030,,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,Personal
PC.2700.050,,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,,,,,,,,,,,,Communal
PC.1100.020,,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.2300.020,,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,,,,,,,,,,,,Communal
PC.0900.030,,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,,,,,,,,,,,,Personal
PC.0900.040,,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,,,,,,,,,,,,Personal
PC.1000.010,,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.2700.060,,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.0800.080,,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,,,,,,,,,,,,Communal
PC.2000.070,,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.2000.080,,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,Personal
PC.1100.030,,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,Personal
PC.1100.040,,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.1100.050,,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.2300.030,,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.2300.040,,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.1100.060,,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.2300.050,,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.1200.010,,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.1200.020,,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.1200.050,,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.1200.030,,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.2300.060,,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.0100.020,,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.1200.040,,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.0100.030,,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
PC.1500.010,,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,Personal
